form	wsafter	testid	anas	lemma	xpostag	separated	previd	prevold	prevclosest
Be	" "	p1	[{"lemma": "Be", "tag": "[/N][Nom]", "morphana": "Be[/N|Abbr|ChemSym]=Be+[Nom]=", "readable": "Be[/N|Abbr|ChemSym] + [Nom]", "twolevel": "B:B e:e :[/N|Abbr|ChemSym] :[Nom]"}, {"lemma": "be", "tag": "[/Prev]", "morphana": "be[/Prev]=be", "readable": "be[/Prev]", "twolevel": "b:b e:e :[/Prev]"}]		[/Prev]	conn	1	0	0
fog	" "	.	[{"lemma": "fog", "tag": "[/N][Nom]", "morphana": "fog[/N]=fog+[Nom]=", "readable": "fog[/N] + [Nom]", "twolevel": "f:f o:o g:g :[/N] :[Nom]"}, {"lemma": "fog", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "fog[/V]=fog+[Prs.NDef.3Sg]=", "readable": "fog[/V] + [Prs.NDef.3Sg]", "twolevel": "f:f o:o g:g :[/V] :[Prs.NDef.3Sg]"}]	fog	[/V][Prs.NDef.3Sg]			.	.
következni	""	v1	[{"lemma": "következik", "tag": "[/V][Inf]", "morphana": "következik[/V]=következ+ni[Inf]=ni", "readable": "következik[/V]=következ + ni[Inf]", "twolevel": "k:k ö:ö v:v e:e t:t k:k e:e z:z :i :k :[/V] n:n i:i :[Inf]"}]	bek�vetkezik	[/Prev][/V][Inf]	sep	1	0	0
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
mert	" "	.	[{"lemma": "mer", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "mer[/V]=mer+t[Pst.NDef.3Sg]=t", "readable": "mer[/V] + t[Pst.NDef.3Sg]", "twolevel": "m:m e:e r:r :[/V] t:t :[Pst.NDef.3Sg]"}, {"lemma": "mert", "tag": "[/Adj][Nom]", "morphana": "mer[/V]=mer+t[_PerfPtcp/Adj]=t+[Nom]=", "readable": "mer[/V] + t[_PerfPtcp/Adj] + [Nom]", "twolevel": "m:m e:e r:r :[/V] t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "mert", "tag": "[/Cnj]", "morphana": "mert[/Cnj]=mert", "readable": "mert[/Cnj]", "twolevel": "m:m e:e r:r t:t :[/Cnj]"}]	mert	[/Cnj]			.	.
be	" "	p2	[{"lemma": "be", "tag": "[/Prev]", "morphana": "be[/Prev]=be", "readable": "be[/Prev]", "twolevel": "b:b e:e :[/Prev]"}]		[/Prev]	conn	2	1	1
kell	" "	.	[{"lemma": "kell", "tag": "[/V][Prs.NDef.3Sg]", "morphana": "kell[/V]=kell+[Prs.NDef.3Sg]=", "readable": "kell[/V] + [Prs.NDef.3Sg]", "twolevel": "k:k e:e l:l l:l :[/V] :[Prs.NDef.3Sg]"}]	kell	[/V][Prs.NDef.3Sg]			.	.
következzék	" "	v2	[{"lemma": "következik", "tag": "[/V][Sbjv.Def.3Pl]", "morphana": "következik[/V]=következ+zék[Sbjv.Def.3Pl]=zék", "readable": "következik[/V]=következ + zék[Sbjv.Def.3Pl]", "twolevel": "k:k ö:ö v:v e:e t:t k:k e:e z:z :i :k :[/V] z:z é:é k:k :[Sbjv.Def.3Pl]"}, {"lemma": "következik", "tag": "[/V][Sbjv.NDef.3Sg]", "morphana": "következik[/V]=következ+zék[Sbjv.NDef.3Sg]=zék", "readable": "következik[/V]=következ + zék[Sbjv.NDef.3Sg]", "twolevel": "k:k ö:ö v:v e:e t:t k:k e:e z:z :i :k :[/V] z:z é:é k:k :[Sbjv.NDef.3Sg]"}]	bek�vetkezik	[/Prev][/V][Sbjv.NDef.3Sg]	sep	2	1	1
az	" "	.	[{"lemma": "az", "tag": "[/Det|Art.Def]", "morphana": "az[/Det|Art.Def]=az", "readable": "az[/Det|Art.Def]", "twolevel": "a:a z:z :[/Det|Art.Def]"}, {"lemma": "az", "tag": "[/Det|Pro][Nom]", "morphana": "az[/Det|Pro]=az+[Nom]=", "readable": "az[/Det|Pro] + [Nom]", "twolevel": "a:a z:z :[/Det|Pro] :[Nom]"}, {"lemma": "az", "tag": "[/N|Pro][Nom]", "morphana": "az[/N|Pro]=az+[Nom]=", "readable": "az[/N|Pro] + [Nom]", "twolevel": "a:a z:z :[/N|Pro] :[Nom]"}]	az	[/Det|Art.Def]			.	.
immár	" "	.	[{"lemma": "immár", "tag": "[/Adv]", "morphana": "immár[/Adv]=immár", "readable": "immár[/Adv]", "twolevel": "i:i m:m m:m á:á r:r :[/Adv]"}]	immár	[/Adv]			.	.
