form	wsafter	testid	anas	lemma	xpostag
Szerintem	" "	.	[{"lemma": "szerint", "tag": "[/Post][1Sg]", "morphana": "én[/N|Pro]=+szerint[/Post]=szerint+em[1Sg]=em", "readable": "én[/N|Pro]= + szerint[/Post] + em[1Sg]", "twolevel": ":é :n :[/N|Pro] s:s z:z e:e r:r i:i n:n t:t :[/Post] e:e m:m :[ :1 :S :g :]"}]	szerint	[/Post][1Sg]
ezt	" "	.	[{"lemma": "ez", "tag": "[/Det|Pro][Acc]", "morphana": "ez[/Det|Pro]=ez+t[Acc]=t", "readable": "ez[/Det|Pro] + t[Acc]", "twolevel": "e:e z:z :[/Det|Pro] t:t :[Acc]"}, {"lemma": "ez", "tag": "[/N|Pro][Acc]", "morphana": "ez[/N|Pro]=ez+t[Acc]=t", "readable": "ez[/N|Pro] + t[Acc]", "twolevel": "e:e z:z :[/N|Pro] t:t :[Acc]"}]	ez	[/Det|Pro][Acc]
ne	" "	.	[{"lemma": "ne", "tag": "[/Adv]", "morphana": "ne[/Adv]=ne", "readable": "ne[/Adv]", "twolevel": "n:n e:e :[/Adv]"}, {"lemma": "ne", "tag": "[/Inj-Utt]", "morphana": "ne[/Inj-Utt]=ne", "readable": "ne[/Inj-Utt]", "twolevel": "n:n e:e :[/Inj-Utt]"}]	ne	[/Adv]
taglaljuk	""	.	[{"lemma": "taglal", "tag": "[/V][Prs.Def.1Pl]", "morphana": "taglal[/V]=taglal+juk[Prs.Def.1Pl]=juk", "readable": "taglal[/V] + juk[Prs.Def.1Pl]", "twolevel": "t:t a:a g:g l:l a:a l:l :[/V] j:j u:u k:k :[Prs.Def.1Pl]"}, {"lemma": "taglal", "tag": "[/V][Sbjv.Def.1Pl]", "morphana": "taglal[/V]=taglal+juk[Sbjv.Def.1Pl]=juk", "readable": "taglal[/V] + juk[Sbjv.Def.1Pl]", "twolevel": "t:t a:a g:g l:l a:a l:l :[/V] j:j u:u k:k :[Sbjv.Def.1Pl]"}]	taglal	[/V][Prs.Def.1Pl]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
hacsak	" "	.	[{"lemma": "hacsak", "tag": "[/Cnj]", "morphana": "hacsak[/Cnj]=hacsak", "readable": "hacsak[/Cnj]", "twolevel": "h:h a:a c:c s:s a:a k:k :[/Cnj]"}]	hacsak	[/Cnj]
elő	" "	p1	[{"lemma": "elő", "tag": "[/Prev]", "morphana": "elő[/Prev]=elő", "readable": "elő[/Prev]", "twolevel": "e:e l:l ő:ő :[/Prev]"}]	elő	[/Prev]
nem	" "	.	[{"lemma": "nem", "tag": "[/Adv]", "morphana": "nem[/Adv]=nem", "readable": "nem[/Adv]", "twolevel": "n:n e:e m:m :[/Adv]"}, {"lemma": "nem", "tag": "[/Inj-Utt]", "morphana": "nem[/Inj-Utt]=nem", "readable": "nem[/Inj-Utt]", "twolevel": "n:n e:e m:m :[/Inj-Utt]"}, {"lemma": "nem", "tag": "[/N][Nom]", "morphana": "nem[/N]=nem+[Nom]=", "readable": "nem[/N] + [Nom]", "twolevel": "n:n e:e m:m :[/N] :[Nom]"}]	nem	[/Adv]
kerülnek	" "	v1	[{"lemma": "kerül", "tag": "[/V][Prs.NDef.3Pl]", "morphana": "kerül[/V]=kerül+nek[Prs.NDef.3Pl]=nek", "readable": "kerül[/V] + nek[Prs.NDef.3Pl]", "twolevel": "k:k e:e r:r ü:ü l:l :[/V] n:n e:e k:k :[ :P :r :s :. :N :D :e :f :. :3 :P :l :]"}]	kerül	[/V][Prs.NDef.3Pl]
valamiféle	""	.	[{"lemma": "valamiféle", "tag": "[/N][Nom]", "morphana": "valami[/N]=valami+féle[/N]=féle+[Nom]=", "readable": "valami[/N] + féle[/N] + [Nom]", "twolevel": "v:v a:a l:l a:a m:m i:i :[/N] f:f é:é l:l e:e :[/N] :[Nom]"}, {"lemma": "valamiféle", "tag": "[/Adj][Nom]", "morphana": "valami[/N]=valami+féle[_Adjz_Type:féle/Adj]=féle+[Nom]=", "readable": "valami[/N] + féle[_Adjz_Type:féle/Adj] + [Nom]", "twolevel": "v:v a:a l:l a:a m:m i:i :[/N] f:f é:é l:l e:e :[_Adjz_Type:féle/Adj] :[Nom]"}, {"lemma": "valamiféle", "tag": "[/Adj|Pro][Nom]", "morphana": "valamiféle[/Adj|Pro]=valamiféle+[Nom]=", "readable": "valamiféle[/Adj|Pro] + [Nom]", "twolevel": "v:v a:a l:l a:a m:m i:i f:f é:é l:l e:e :[/Adj|Pro] :[Nom]"}]	valamiféle	[/Adj|Pro][Nom]
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
